,Paper Title,Author,Affiliation,Conference,Year,Link to Paper,Code,Available,ReadMe,RepoGoal,TrainedModel,Out-of-box,Runs,Output,Data_Available,Train/test,Reason,ModelUsed,Hyperparameters,Training Described
98,"Adversarial Attacks Against Automatic Speech
Recognition Systems via Psychoacoustic Hiding","Lea Schonherr, Katharina Kohls, Steffen Zeiler, Thorsten Holz, and Dorothea Kolossa",0,NDSS,2019,https://arxiv.org/pdf/1808.05665.pdf,1,3,2,2,0,0,0,0,7,1,-1,DNN,2,1
101,NIC: Detecting Adversarial Samples with Neural Network Invariant Checking,"Shiqing Ma, Yingqi Liu, Guanhong Tao, Wen-Chuan Lee, and Xiangyu Zhang",0,NDSS,2019,https://www.ndss-symposium.org/wp-content/uploads/2019/02/ndss2019_03A-4_Ma_paper.pdf,1,1,1,0,0,0,0,0,7,1,-1,DNN,2,2
103,"Life after Speech Recognition:
Fuzzing Semantic Misinterpretation for Voice
Assistant Applications","Yangyong Zhang, Lei Xu, Abner Mendoza, Guangliang Yang, Phakpoom Chinprutthiwong, Guofei Gu",0,NDSS,2019,https://people.engr.tamu.edu/guofei/paper/LipFuzzer-NDSS19.pdf,1,3,1,2,0,0,0,0,0,0,0,"NLP, Bayesian networks",0,-1
106,Gotta Catch’Em All: Using Honeypots to Catch Adversarial Attacks on Neural Networks,"Shawn Shan, Emily Wenger, Bolun Wang, Bo Li, Haitao Zheng, Ben Y. Zhao",,CCS,2020,https://dl.acm.org/doi/pdf/10.1145/3372297.3417231,1,3,2,0,0,0,0,0,4,1,-1,DNN,2,2
107,VisualPhishNet: Zero-Day Phishing Website Detection by Visual Similarity,Sahar Abdelnabi and Katharina Krombholz and Mario Fritz,0,CCS,2020,https://dl.acm.org/doi/pdf/10.1145/3372297.3417233,1,1,1,0,0,0,0,1,2,1,-1,CNN,2,2
108,GAN-Leaks: A Taxonomy of Membership Inference Attacks against Generative Models,Dingfan Chen; Ning Yu; Yang Zhang ; Mario Fritz ,0,CCS,2020,https://dl.acm.org/doi/pdf/10.1145/3372297.3417238,1,3,2,0,0,0,0,0,4,1,-1,GAN,2,2
109,A Tale of Evil Twins: Adversarial Inputs versus Poisoned Models,"Ren Pang,  Hua Shen; Xinyang Zhang ; Shouling Ji; Yevgeniy Vorobeychik ; Xiapu Luo; Alex X. Liu; Ting Wang",1,CCS,2020,https://dl.acm.org/doi/pdf/10.1145/3372297.3417253,1,1,2,2,1,0,0,0,4,1,-1,DNN,2,1
117,CrypTFlow2: Practical 2-Party Secure Inference,Deevashwer Rathe; Mayank Rathee; Nishant Kumar; Nishanth Chandran; Divya Gupta; Aseem Rastogi; Rahul Sharma,3,CCS,2020,https://dl.acm.org/doi/pdf/10.1145/3372297.3417274,1,1,2,2,1,0,0,0,4,1,-1,"DNN, CNN",2,-1
118,"Poking a Hole in the Wall: E!icient Censorship-Resistant
Internet Communications by Parasitizing on WebRTC","Diogo Barradas, Nuno Santos, Luís Rodrigues, Vítor Nunes",0,CCS,2020,https://dl.acm.org/doi/pdf/10.1145/3372297.3417874,1,1,2,2,1,0,0,0,2,0,-1,state of the art traffic Classifiers,0,0
120,TrafficSliver: Fighting Website Fingerprinting Attacks with Traffic Splitting,Wladimir De la Cadena; Asya Mitseva; Jens Hiller; Jan Pennekamp; Sebastian Reuter; Julian Filter; Klaus Wehrle; Thomas Engel; Andriy Panchenko,0,CCS,2020,https://dl.acm.org/doi/pdf/10.1145/3372297.3423351,1,1,2,2,0,0,0,0,0,0,0,"k-NN [47], CUMUL [34],
k-FP [19], and DF [44]",0,1
122,"Practical Recommendations for Stronger, More Usable
Passwords Combining Minimum-strength, Minimum-length,
and Blocklist Requirements","Joshua Tan, Lujo Bauer, Nicolas Christin, and Lorrie Faith Cranor",0,CCS,2020,https://dl.acm.org/doi/pdf/10.1145/3372297.3417882,1,3,2,0,1,1,1,1,4,1,-1,"PGS3 NN - RNN, LSTM",2,2
124,RTFM! Automatic Assumption Discovery and Verification Derivation from Library Document for API Misuse Detection,"Tao Lv, Ruishi Li1, Yi Yang, Kai Chen, Xiaojing Liao, XiaoFeng Wang, Peiwei Hu, Luyi Xing",0,CCS,2020,https://dl.acm.org/doi/pdf/10.1145/3372297.3423360,1,3,0,1,1,0,0,0,7,1,-1,S-HAN (NN model),2,1
125,"Composite Backdoor Attack for Deep Neural Network by
Mixing Existing Benign Features",Junyu Lin; Lei Xu; Yingqi Liu; Xiangyu Zhang,0,CCS,2020,https://dl.acm.org/doi/pdf/10.1145/3372297.3423362,1,5,2,2,0,0,0,0,4,1,-1,DNN,2,2
126,Estimating g-Leakage via Machine Learning,Marco Romanelli; Konstantinos Chatzikokolakis; Catuscia Palamidessi; Pablo Piantanida,0,CCS,2020,https://dl.acm.org/doi/pdf/10.1145/3372297.3423363,1,1,0,0,1,0,0,0,3,1,0,"k-nn, ANN",2,2
129,"A Practical Approach for Taking Down
Avalanche Botnets Under Real-World Constraints","Victor Le Pochat, Tim Van hamme, Sourena Maroofi, Tom Van Goethem, Davy Preuveneers, Andrzej Duda, Wouter Joosen, and Maciej Korczyński",0,NDSS,2020,https://www.ndss-symposium.org/wp-content/uploads/2020/02/24161-paper.pdf,1,1,1,2,1,0,0,0,0,1,1,"Decision Tree,  Gradient Boosted Tree, Random Forest, SVM",2,2
130,"ABSynthe: Automatic Blackbox Side-channel
Synthesis on Commodity Microarchitectures","Ben Gras, Cristiano Giuffrida, Michael Kurth, Herbert Bos, and Kaveh Razavi",1,NDSS,2020,https://www.ndss-symposium.org/wp-content/uploads/2020/02/23018-paper.pdf,1,3,1,0,0,0,0,1,0,0,0,"Gaussian Naive Bayes (GNB) classifier, RNN",2,2
133,"CloudLeak: Large-Scale Deep Learning Models
Stealing Through Adversarial Examples","Honggang Yu, Kaichen Yang, Teng Zhang, Yun-Yun Tsai, Tsung-Yi Ho, Yier Jin",0,NDSS,2020,https://www.ndss-symposium.org/wp-content/uploads/2020/02/24178-paper.pdff,1,3,0,1,1,0,0,0,4,1,-1,DNN,2,2
135,"DEEPBINDIFF: Learning Program-Wide Code
Representations for Binary Diffing","Yue Duan, Xuezixiang Li, Jinghan Wang, and Heng Yin",0,NDSS,2020,https://www.ndss-symposium.org/wp-content/uploads/2020/02/24311-paper.pdf,1,1,2,0,0,0,0,0,7,0,-1,NLP TADW,2,2
138,"Encrypted DNS =⇒ Privacy?
A Traffic Analysis Perspective","Sandra Siby, Marc Juarez, Claudia Diaz, Narseo Vallina-Rodriguez, and Carmela Troncoso",0,NDSS,2020,https://www.ndss-symposium.org/wp-content/uploads/2020/02/24301-paper.pdf,1,1,0,0,1,0,1,1,7,-1,0,Random Forest,2,2
146,"On the Resilience of Biometric Authentication
Systems against Random Inputs","Benjamin Zi Hao Zhao, Hassan Jameel Asghar and Mohamed Ali Kaafar",3,NDSS,2020,https://www.ndss-symposium.org/wp-content/uploads/2020/02/24210-paper.pdf,1,1,0,2,0,0,0,0,7,1,-1,"SVM, RF",2,2
151,"When Malware is Packin’ Heat;
Limits of Machine Learning Classifiers Based on
Static Analysis Features","Hojjat Aghakhani, Fabio Gritti, Francesco Mecca, Martina Lindorfer, Stefano Ortolani, Davide Balzarotti, Giovanni Vigna, and Christopher Kruegel",1,NDSS,2020,https://www.ndss-symposium.org/wp-content/uploads/2020/02/24310-paper.pdf,1,1,2,0,0,0,0,0,7,1,-1,RF,2,2
152,"Withdrawing the BGP Re-Routing Curtain:
Understanding the Security Impact of BGP Poisoning via Real-World Measurements","Jared M. Smith, Kyle Birkeland, Tyler McDaniel, and Max Schuchard",0,NDSS,2020,https://www.ndss-symposium.org/wp-content/uploads/2020/02/24240-paper.pdf,1,1,0,0,0,0,0,0,7,0,-1,"4 models: 4-layer fullyconnected neural network, decision tree classifier, random
forest ensemble classifier, and support vector machine",1,1
177,HyCC: Compilation of Hybrid Protocols for Practical Secure Computation,"Niklas Büscher, Daniel Demmler, Stefan Katzenbeisser, David Kretzmer, Thomas Schneider",0,CCS,2018,https://dl.acm.org/doi/pdf/10.1145/3243734.3243786,1,1,2,0,0,1,1,1,4,1,-1,CNN,1,0
182,Measuring Information Leakage in Website Fingerprinting Attacks and Defenses,"Shuai Li, Huajun Guo, Nicholas Hopper",,CCS,2018,https://dl.acm.org/doi/pdf/10.1145/3243734.3243832,1,1,1,0,0,0,0,0,0,-1,0,KNN classifier,0,0
187,A Security Analysis of Honeywords,"Ding Wang, Haibo Cheng, Ping Wang, Jeff Yan, Xinyi Huang",0,NDSS,2018,https://www.ndss-symposium.org/wp-content/uploads/2018/02/ndss2018_02B-2_Wang_paper.pdf,1,1,2,1,1,1,1,1,1,1,-1,"PCFG, Markov",0,2
199,SquirRL: Automating Attack Analysis on Blockchain Incentive Mechanisms with Deep Reinforcement Learning,"Charlie Hou, Mingxun Zhou, Yan Ji, Phil Daian, Florian Tramer, Giulia Fanti, Ari Juels",0,NDSS,2021,https://www.ndss-symposium.org/wp-content/uploads/ndss2021_3C-4_24188_paper.pdf,1,1,1,0,0,0,0,0,4,1,-1,Reinforcement learning,2,2
212,Chunk-Level Password Guessing: Towards Modeling Refined Password Composition Representations,"Ming Xu, Chuanwang Wang, Jitao Yu, Junjie Zhang, Kai Zhang, Weili Han",0,CCS,2021,https://dl.acm.org/doi/pdf/10.1145/3460120.3484743,1,1,2,1,0,0,0,0,7,0,-1,"Markov, PCFG, LSTM",2,2
234,Predicting the Resilience of Obfuscated Code Against Symbolic Execution Attacks  via Machine Learning,"Sebastian Banescu, Technische, Christian Collberg, Alexander Pretschner",0,Usenix,2017,https://www.usenix.org/conference/usenixsecurity17/technical-sessions/presentation/banescu,1,1,2,0,0,1,1,1,1,1,-1,Regression Model + Feature Selection Algorithm. NN (Nesterov Accelerated Gradient for learning),0,0
235,Machine Learning Models that Remember Too Much,"Congzheng Song, Thomas Ristenpart, Vitaly Shmatikov",0,CCS,2017,https://acmccs.github.io/papers/p587-songA.pdf,1,3,2,1,0,0,0,0,1,1,-1,"CNN, RES, BOW",2,2
237,MagNet: a Two-Pronged Defense against Adversarial Examples,"Dongyu Meng, Hao Chen",0,CCS,2017,https://acmccs.github.io/papers/p135-mengA.pdf,1,3,1,0,1,1,1,1,1,0,-1,NN,2,2
244,Towards Evaluating the Robustness of Neural Networks,"Nicholas Carlini, David Wagner",0,S&P,2017,https://www.ieee-security.org/TC/SP2017/papers/518.pdf,1,3,2,0,1,1,1,1,1,4,-1,NN,1,2
245,Neural Nets Can Learn Function Type Signatures From Binaries,"Zheng Leong Chua, Shiqi Shen, Prateek Saxena, and Zhenkai Liang",0,Usenix,2017,https://www.usenix.org/conference/usenixsecurity17/technical-sessions/presentation/chua,1,1,2,0,0,1,1,1,1,1,-1,NN,2,2
250,MaMaDroid: Detecting Android Malware by Building Markov Chains of Behavioral Models,"Enrico Mariconti, Lucky Onwuzurike, Panagiotis Andriotis, Emiliano De Cristofaro, Gordon Ross, Gianluca Stringhini",0,CCS,2017,https://dl.acm.org/doi/10.1145/3313391,1,3,1,2,0,0,0,0,0,0,0,"1-NN, 3-NN, SVM",0,2
251,Enhanced Membership Inference Attacks against Machine Learning Models,"Hao Zhou, Xiapu Luo, Haoyu Wang, Haipeng Cai",1,CCS,2022,https://dl.acm.org/doi/abs/10.1145/3548606.3560675,1,1,2,0,0,0,0,0,4,1,-1,LiRa attack on unnamed ML models,1,2
255,Order-Disorder: Imitation Adversarial Attacks for Black-box Neural Ranking Models,"Jiawei Liu, Kaisong Song, Yangyang Kang, Changlong Sun, Wei Lu, Xiaozhong Liu, Di Tang, Xiaofeng Wang",1,CCS,2022,https://dl.acm.org/doi/abs/10.1145/3548606.3560683,1,1,2,0,1,0,0,1,7,1,-1,NN,1,2
256,Private and Reliable Neural Network Inference,"Nikola Jovanović, Marc Fischer, Samuel Steffen, Martin Vechev",0,CCS,2022,https://dl.acm.org/doi/10.1145/3548606.3560709,1,1,2,0,0,0,0,0,7,1,-1,NN,2,2
257,AI/ML for Network Security: The Emperor has no Clothes,"Arthur S. Jacobs, Roman Beltiukov, Walter Willinger, Ronaldo A. Ferreira, Arpit Gupta, Lisandro Z. Granville",1,CCS,2022,https://dl.acm.org/doi/10.1145/3548606.3560609,1,1,2,0,1,1,1,1,7,1,-1,Decision Tree,0,2
258,QuerySnout: Automating the Discovery of Attribute Inference Attacks against Query-Based Systems,"Ana-Maria Crețu, Florimond Houssiau, Antoine Cully, Yves-Alexandre de Montjoye",0,CCS,2022,https://dl.acm.org/doi/abs/10.1145/3548606.3560581,1,1,2,0,0,0,0,1,1,1,-1,Logistic Regression,1,2
261,LPGNet: Link Private Graph Networks for Node Classification,"Aashish Kolluri, Teodora Baluta, Bryan Hooi, Prateek Saxena",0,CCS,2022,https://dl.acm.org/doi/abs/10.1145/3548606.3560705,1,1,2,0,1,1,0,1,7,1,-1,New novel architecture: LPGNet,2,2
262,Membership Inference Attacks by Exploiting Loss Trajectory,"Yiyong Liu, Zhengyu Zhao, Michael Backes, Yang Zhang",0,CCS,2022,https://dl.acm.org/doi/10.1145/3548606.3560684,1,1,2,0,0,0,1,1,7,1,-1,NN,2,2
263,Membership Inference Attacks and Generalization: A Causal Perspective,"Teodora Baluta, Shiqi Shen, S. Hitarth, Shruti Tople, Prateek Saxena",1,CCS,2022,https://dl.acm.org/doi/10.1145/3548606.3560694,1,1,2,0,1,1,1,1,7,1,-1,NN,2,2
268,Model Orthogonalization: Class Distance Hardening in Neural Networks for Better Security,"Guanhong Tao, Yingqi Liu, Guangyu Shen, Qiuling Xu, Shengwei An, Zhuo Zhang, Xiangyu Zhang",0,S&P,2022,https://ieeexplore.ieee.org/document/9833688,1,1,1,2,0,0,0,0,7,0,-1,"NN, DNN",1,2
269,Model Stealing Attacks Against Inductive Graph Neural Networks,"Yun Shen, Xinlei He, Yufei Han, Yang Zhang",1,S&P,2022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9833607,1,1,2,2,0,0,1,1,7,1,-1,GNN,2,2
271,WTAGRAPH: Web Tracking and Advertising Detection using Graph Neural Networks,"Zhiju Yang, Weiping Pei, Monchu Chen, Chuan Yue",1,S&P,2022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9833670,1,1,2,0,0,0,1,1,1,1,-1,GNN,2,2
273,PICCOLO : Exposing Complex Backdoors in NLP Transformer Models,"Yingqi Liu, Guangyu Shen, Guanhong Tao, Shengwei An, Shiqing Ma, Xiangyu Zhang.",0,S&P,2022,https://ieeexplore.ieee.org/abstract/document/9833579,1,1,0,1,0,0,0,1,7,1,-1,NLP,1,2
274,BadCharacters: Imperceptible NLP Attacks ,"Nicholas Boucher, Ilia Shumailov, Ross Anderson, Nicolas Papernot",0,S&P,2022,https://ieeexplore.ieee.org/document/9833641,1,1,2,0,0,0,0,0,7,1,-1,NLP,0,2
275,Back to the drawing board: A critical evaluation of poisoning attacks on production federated learning,"Virat Shejwalkar, Amir Houmansadr, Peter Kairouz, Daniel Ramage",1,S&P,2022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9833647,1,1,1,0,0,1,1,0,7,1,-1,Federated Learning,1,2
297,SmartVerif: Push the Limit of Automation Capability of Verifying Security Protocols by Dynamic Strategies,Yan Xiong Cheng Su Wenchao Huang Fuyou Miao Wansen Wang and Hengyi Ouyang,0,Usenix,2020,https://www.usenix.org/system/files/sec20-xiong.pdf,1,1,1,1,0,0,0,0,0,-1,-1,DQN,0,2
302,Effective Attacks and Provable Defenses for Website Fingerprinting,Tao Wang; Xiang Cai; Rishab Nithyanand; Rob Johnson; Ian Goldberg,0,Usenix,2014,https://www.usenix.org/system/files/conference/usenixsecurity14/sec14-paper-wang-tao.pdf,1,3,0,2,0,0,0,0,4,1,-1,Support Vector Machine,1,2
306,ByteWeight: Learning to Recognize Functions in Binary Code,Tiffany Bao; Jonathan Burket; Maverick Woo; Rafael Turner; David Brumley,0,Usenix,2014,https://www.usenix.org/system/files/conference/usenixsecurity14/sec14-paper-bao.pdf,1,3,2,0,0,0,0,0,1,1,-1,Decision Tree,2,2
307,Gyrophone: Recognizing Speech From Gyroscope Signals,Yan Michalevsky; Dan Boneh; Gabi Nakibly,,Usenix,2014,https://www.usenix.org/system/files/conference/usenixsecurity14/sec14-paper-michalevsky.pdf,1,3,1,2,0,0,0,1,1,1,-1,Support Vector Machines,1,1
310,A Machine-learning Approach for Classifying and Categorizing Android Sources and Sinks,Eric Bodden; Siegfried Rasthofer; Steven Arzt,0,NDSS,2014,https://www.ndss-symposium.org/wp-content/uploads/2017/09/10_1_1.pdf,1,1,1,1,1,0,0,0,0,-1,0,Support Vector Machines,2,2
311,Drebin: Effective and Explainable Detection of Android Malware in Your Pocket,Daniel Arp; Michael Spreitzenbarth; Malte Hubner; Hugo Gascon; Konrad Rieck,1,NDSS,2014,https://www.ndss-symposium.org/wp-content/uploads/2017/09/11_3_1.pdf,1,5,0,1,0,0,0,0,1,1,-1,Support Vector Machine,1,2
316,AutoCog: Measuring the Description-to-permission Fidelity in Android Applications,Zhengyang Qu; Vaibhav Rastogi; Xinyi Zhang; Yan Chen; Tiantian Zhu; Zhong Chen,1,CCS,2014,https://dl.acm.org/doi/pdf/10.1145/2660267.2660287?casa_token=WJ1BUxZAuxAAAAAA:Mc7SgVHQmJ9xI6RxFrBZqmKuxVMpqBMoSu5dmeSrfIvFBbB4AGEq9NILyovEPxuZ7XfBdvE1JfLO,1,3,2,2,0,0,0,0,1,1,-1,Natural Language Processing,2,2
317,Practical Evasion of a Learning-Based Classifier: A Case Study,Nedim Srndic and Pavel Laskov,0,S&P,2014,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6956565,1,1,2,0,1,0,0,1,1,1,-1,"Random Forests, Support Vector Machine",2,2
318,Doppelgänger Finder: Taking Stylometry To The Underground,Sadia Afroz; Aylin Caliskan-Islam; Ariel Stolerman; Rachel Greenstadt; Damon McCoy,0,S&P,2014,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6956566,1,1,2,1,0,0,0,1,3,0,-1,Support Vector Machine,2,2
320,Effective Detection of Multimedia Protocol Tunneling using Machine Learning,"Diogo Barradas, Nuno Santos, and Luís Rodrigues",0,Usenix,2018,https://www.usenix.org/system/files/conference/usenixsecurity18/sec18-barradas.pdf,1,1,2,0,0,0,0,0,0,0,0,"Decision Tree, Random Forest, XGBoost",1,1
322,Polisis: Automated Analysis and Presentation of Privacy Policies Using Deep Learning,Hamza Harkous; Kassem Fawaz; Remi Lebret; Florian Schaub; Kang G. Shin; Karl Aberer,0,Usenix,2018,https://www.usenix.org/system/files/conference/usenixsecurity18/sec18-harkous.pdf,1,5,0,1,0,0,0,0,8,0,0,Convuluntional Neural Networks,2,2
323,Reading Thieves’ Cant: Automatically Identifying and Understanding Dark Jargons from Cybercrime Marketplaces,Kan Yuan; Haoran Lu; Xiaojing Liao; XiaoFeng Wang,0,Usenix,2018,https://www.usenix.org/system/files/conference/usenixsecurity18/sec18-yuan_0.pdf,1,1,2,0,1,0,0,1,1,1,-1,Neural Networks,2,2
324,Translation Leak-aside Buffer: Defeating Cache Side-channel Protections with TLB Attacks,Ben Gras; Kaveh Razavi; Herbert Bos; Cristiano Giuffrid,0,Usenix,2018,https://www.usenix.org/system/files/conference/usenixsecurity18/sec18-gras.pdf,1,3,2,0,0,0,0,1,0,-1,0,Support Vector Machine,0,1
